benchmark_equity,strategy_asset,strategy_equity,strategy_executed_target_weight,strategy_shares,trade_date
560967.50220825,,419406.6000975827,0.0,0,2018-05-22
553637.29770825,,419406.6000975827,0.0,0,2018-05-23
549181.68320825,159915.SZ,418907.2892975827,0.25,60100,2018-05-24
547888.11770825,159915.SZ,416984.0892975827,0.25,60100,2018-05-25
551337.62570825,,416727.0716475827,0.0,0,2018-05-28
546163.36370825,,416727.0716475827,0.0,0,2018-05-29
535814.83970825,,416727.0716475827,0.0,0,2018-05-30
546738.2817082499,,416727.0716475827,0.0,0,2018-05-31
543001.3147082501,,416727.0716475827,0.0,0,2018-06-01
548319.30620825,,416727.0716475827,0.0,0,2018-06-04
552918.65020825,,416727.0716475827,0.0,0,2018-06-05
551912.54370825,,416727.0716475827,0.0,0,2018-06-06
551768.81420825,,416727.0716475827,0.0,0,2018-06-07
544438.6097082499,,416727.0716475827,0.0,0,2018-06-08
545875.9047082501,,416727.0716475827,0.0,0,2018-06-11
551337.62570825,,416727.0716475827,0.0,0,2018-06-12
545732.17520825,,416727.0716475827,0.0,0,2018-06-13
544294.88020825,,416727.0716475827,0.0,0,2018-06-14
543432.5032082499,,416727.0716475827,0.0,0,2018-06-15
524747.66820825,,416727.0716475827,0.0,0,2018-06-19
524747.66820825,,416727.0716475827,0.0,0,2018-06-20
520435.78320825,,416727.0716475827,0.0,0,2018-06-21
522735.45520825003,,416727.0716475827,0.0,0,2018-06-22
515405.25070825004,,416727.0716475827,0.0,0,2018-06-25
510374.71820824995,,416727.0716475827,0.0,0,2018-06-26
498301.44020825,,416727.0716475827,0.0,0,2018-06-27
495426.85020825005,,416727.0716475827,0.0,0,2018-06-28
508506.23470825003,,416727.0716475827,0.0,0,2018-06-29
494995.66170825006,,416727.0716475827,0.0,0,2018-07-02
493127.17820825,,416727.0716475827,0.0,0,2018-07-03
487952.91620825004,,416727.0716475827,0.0,0,2018-07-04
483928.49020825,,416727.0716475827,0.0,0,2018-07-05
488096.64570825006,,416727.0716475827,0.0,0,2018-07-06
502325.86620825005,,416727.0716475827,0.0,0,2018-07-09
503619.43170825,,416727.0716475827,0.0,0,2018-07-10
495283.12070825,,416727.0716475827,0.0,0,2018-07-11
507212.66920825,,416727.0716475827,0.0,0,2018-07-12
508075.04620825,,416727.0716475827,0.0,0,2018-07-13
505919.10370825004,,416727.0716475827,0.0,0,2018-07-16
502757.05470825004,,416727.0716475827,0.0,0,2018-07-17
500457.38270824996,,416727.0716475827,0.0,0,2018-07-18
500744.84170825005,,416727.0716475827,0.0,0,2018-07-19
510374.71820824995,,416727.0716475827,0.0,0,2018-07-20
513680.49670825,,416727.0716475827,0.0,0,2018-07-23
523166.64370824996,,416727.0716475827,0.0,0,2018-07-24
523022.91420825,,416727.0716475827,0.0,0,2018-07-25
516267.62770825,,416727.0716475827,0.0,0,2018-07-26
514974.06220825,,416727.0716475827,0.0,0,2018-07-27
512099.47220824996,,416727.0716475827,0.0,0,2018-07-30
513967.95570825005,,416727.0716475827,0.0,0,2018-07-31
502469.59570825,,416727.0716475827,0.0,0,2018-08-01
491258.69470825,,416727.0716475827,0.0,0,2018-08-02
484359.67870825005,,416727.0716475827,0.0,0,2018-08-03
479329.14620825,,416727.0716475827,0.0,0,2018-08-06
492695.98970825004,,416727.0716475827,0.0,0,2018-08-07
485509.51470824995,,416727.0716475827,0.0,0,2018-08-08
